id,date,text,likes
528,2023-06-29,1Т будет участвовать в развитии беспилотного транс...,20
440,2023-05-12,🐭 У нас появился классный мерч — коврики и компьют...,18
404,2023-04-27,Профессия аналитик: открытый вебинар...,18
565,2023-07-19,Продолжаем ближе знакомиться с нашими любимыми экс...,17
505,2023-06-15,Как создавались курсы 1Т?    Сначала мы обзавелись...,17
428,2023-05-06,1Т — спонсор конкурса Мисс и Мистер СПбСО 2023    ...,17
403,2023-04-26,🚀 Три новых курса от 1Т по искусственному интеллек...,17
547,2023-07-12,Как в 1Т Клубе организована менторская поддержка к...,16
525,2023-06-27,"Вы внимательно слушали их на вебинарах, читали их ...",14
535,2023-07-04,Как стать руководителем отдела аналитики из 14 чел...,13
