id,date,text,comments
13,2022-09-08,Еще три новых термина 🎉    Два слова из трех нам п...,7
299,2023-03-07,Приручаем искусственный интеллект    🎨 1 марта ста...,5
554,2023-07-14,Заключительная часть советов от участников разрабо...,3
485,2023-06-06,Итоги конкурса #навыки1Т    🐭 Недавно у 1Т Спринт ...,3
383,2023-04-17,Дорогие друзья!    🎉 Недавно четырнадцать команд 7...,3
341,2023-03-27,"🏴‍☠ Выложили на нашем YouTube-канале видео, точно ...",2
565,2023-07-19,Продолжаем ближе знакомиться с нашими любимыми экс...,1
531,2023-07-01,"7 полезных сервисов для тех, кто работает с текста...",1
499,2023-06-11,Чего не стоит делать на собеседовании    Вы отклик...,1
309,2023-03-11,🔔 Свистать всех наверх!    🏴‍☠ ИТ-конференция Спри...,1
